Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,73,3,Some Random Commen with Id 0
1,0,2,50,8,Some Random Commen with Id 1
2,0,2,136,4,Some Random Commen with Id 2
3,0,2,90,9,Some Random Commen with Id 3
4,0,2,29,0,Some Random Commen with Id 4
5,0,2,143,3,Some Random Commen with Id 5
6,0,2,164,9,Some Random Commen with Id 6
7,0,2,183,3,Some Random Commen with Id 7
8,0,2,196,8,Some Random Commen with Id 8
9,1,5,176,5,Some Random Commen with Id 9
10,1,5,0,1,Some Random Commen with Id 10
11,1,5,16,0,Some Random Commen with Id 11
12,1,5,151,7,Some Random Commen with Id 12
13,1,5,158,5,Some Random Commen with Id 13
14,2,1,76,9,Some Random Commen with Id 14
15,2,1,181,5,Some Random Commen with Id 15
16,2,1,116,0,Some Random Commen with Id 16
17,2,1,159,3,Some Random Commen with Id 17
18,2,1,175,3,Some Random Commen with Id 18
19,2,1,55,3,Some Random Commen with Id 19
20,2,1,134,8,Some Random Commen with Id 20
21,2,1,141,9,Some Random Commen with Id 21
22,3,3,5,6,Some Random Commen with Id 22
23,4,5,104,2,Some Random Commen with Id 23
24,4,5,126,3,Some Random Commen with Id 24
25,4,5,157,3,Some Random Commen with Id 25
26,4,5,49,8,Some Random Commen with Id 26
27,4,5,37,3,Some Random Commen with Id 27
28,5,6,180,7,Some Random Commen with Id 28
29,5,6,135,1,Some Random Commen with Id 29
30,5,6,195,4,Some Random Commen with Id 30
31,5,6,130,9,Some Random Commen with Id 31
32,5,6,155,1,Some Random Commen with Id 32
33,5,6,114,1,Some Random Commen with Id 33
34,5,6,156,8,Some Random Commen with Id 34
35,5,6,188,2,Some Random Commen with Id 35
36,6,5,41,4,Some Random Commen with Id 36
37,6,5,90,8,Some Random Commen with Id 37
38,6,5,80,0,Some Random Commen with Id 38
39,7,9,70,8,Some Random Commen with Id 39
40,7,9,66,7,Some Random Commen with Id 40
41,7,9,96,5,Some Random Commen with Id 41
42,7,9,122,1,Some Random Commen with Id 42
43,7,9,88,4,Some Random Commen with Id 43
44,7,9,76,1,Some Random Commen with Id 44
45,8,5,119,7,Some Random Commen with Id 45
46,8,5,179,7,Some Random Commen with Id 46
47,8,5,104,8,Some Random Commen with Id 47
48,8,5,160,0,Some Random Commen with Id 48
49,8,5,90,9,Some Random Commen with Id 49
50,8,5,9,0,Some Random Commen with Id 50
51,8,5,89,1,Some Random Commen with Id 51
52,8,5,184,1,Some Random Commen with Id 52
53,9,9,108,0,Some Random Commen with Id 53
54,9,9,62,3,Some Random Commen with Id 54
55,9,9,88,7,Some Random Commen with Id 55
56,10,8,128,3,Some Random Commen with Id 56
57,12,6,32,1,Some Random Commen with Id 57
58,12,6,181,2,Some Random Commen with Id 58
59,12,6,196,1,Some Random Commen with Id 59
60,12,6,125,7,Some Random Commen with Id 60
61,12,6,135,1,Some Random Commen with Id 61
62,12,6,107,9,Some Random Commen with Id 62
63,12,6,19,1,Some Random Commen with Id 63
64,12,6,83,5,Some Random Commen with Id 64
65,12,6,27,5,Some Random Commen with Id 65
66,13,1,76,0,Some Random Commen with Id 66
67,13,1,28,5,Some Random Commen with Id 67
68,13,1,124,6,Some Random Commen with Id 68
69,13,1,118,8,Some Random Commen with Id 69
70,13,1,31,8,Some Random Commen with Id 70
71,13,1,179,7,Some Random Commen with Id 71
72,13,1,193,2,Some Random Commen with Id 72
73,13,1,14,5,Some Random Commen with Id 73
74,14,8,40,2,Some Random Commen with Id 74
75,14,8,28,7,Some Random Commen with Id 75
76,14,8,108,3,Some Random Commen with Id 76
77,14,8,154,2,Some Random Commen with Id 77
78,15,8,122,2,Some Random Commen with Id 78
79,15,8,149,2,Some Random Commen with Id 79
80,15,8,105,1,Some Random Commen with Id 80
81,15,8,47,2,Some Random Commen with Id 81
82,15,8,0,3,Some Random Commen with Id 82
83,15,8,116,5,Some Random Commen with Id 83
84,15,8,163,3,Some Random Commen with Id 84
85,15,8,26,0,Some Random Commen with Id 85
86,15,8,166,1,Some Random Commen with Id 86
87,17,2,198,4,Some Random Commen with Id 87
88,17,2,15,4,Some Random Commen with Id 88
89,17,2,192,0,Some Random Commen with Id 89
90,18,5,131,2,Some Random Commen with Id 90
91,18,5,183,2,Some Random Commen with Id 91
92,18,5,33,2,Some Random Commen with Id 92
93,18,5,57,8,Some Random Commen with Id 93
94,18,5,79,8,Some Random Commen with Id 94
95,18,5,91,2,Some Random Commen with Id 95
96,18,5,70,3,Some Random Commen with Id 96
97,18,5,122,9,Some Random Commen with Id 97
98,18,5,23,4,Some Random Commen with Id 98
99,19,0,166,1,Some Random Commen with Id 99
100,19,0,175,0,Some Random Commen with Id 100
101,20,5,148,5,Some Random Commen with Id 101
102,20,5,122,3,Some Random Commen with Id 102
103,20,5,74,0,Some Random Commen with Id 103
104,20,5,0,1,Some Random Commen with Id 104
105,20,5,94,8,Some Random Commen with Id 105
106,20,5,20,8,Some Random Commen with Id 106
107,21,4,79,8,Some Random Commen with Id 107
108,21,4,194,2,Some Random Commen with Id 108
109,21,4,65,6,Some Random Commen with Id 109
110,22,1,28,5,Some Random Commen with Id 110
111,22,1,198,6,Some Random Commen with Id 111
112,22,1,111,5,Some Random Commen with Id 112
113,22,1,150,2,Some Random Commen with Id 113
114,23,8,173,2,Some Random Commen with Id 114
115,23,8,23,8,Some Random Commen with Id 115
116,23,8,146,4,Some Random Commen with Id 116
117,23,8,88,9,Some Random Commen with Id 117
118,23,8,180,9,Some Random Commen with Id 118
119,23,8,27,5,Some Random Commen with Id 119
120,23,8,18,5,Some Random Commen with Id 120
121,23,8,43,7,Some Random Commen with Id 121
122,23,8,175,5,Some Random Commen with Id 122
123,24,7,44,6,Some Random Commen with Id 123
124,24,7,47,2,Some Random Commen with Id 124
125,24,7,104,1,Some Random Commen with Id 125
126,24,7,69,6,Some Random Commen with Id 126
127,24,7,51,9,Some Random Commen with Id 127
128,25,0,104,6,Some Random Commen with Id 128
129,25,0,122,9,Some Random Commen with Id 129
130,25,0,112,5,Some Random Commen with Id 130
131,25,0,150,3,Some Random Commen with Id 131
132,25,0,139,8,Some Random Commen with Id 132
133,25,0,154,5,Some Random Commen with Id 133
134,25,0,146,4,Some Random Commen with Id 134
135,26,3,160,6,Some Random Commen with Id 135
136,26,3,65,5,Some Random Commen with Id 136
137,26,3,39,8,Some Random Commen with Id 137
138,26,3,58,4,Some Random Commen with Id 138
139,26,3,142,8,Some Random Commen with Id 139
140,26,3,141,6,Some Random Commen with Id 140
141,27,8,63,5,Some Random Commen with Id 141
142,27,8,184,2,Some Random Commen with Id 142
143,27,8,128,4,Some Random Commen with Id 143
144,27,8,192,3,Some Random Commen with Id 144
145,27,8,64,3,Some Random Commen with Id 145
146,28,1,36,0,Some Random Commen with Id 146
147,28,1,157,1,Some Random Commen with Id 147
148,28,1,143,0,Some Random Commen with Id 148
149,28,1,0,0,Some Random Commen with Id 149
150,29,9,149,1,Some Random Commen with Id 150
151,29,9,83,1,Some Random Commen with Id 151
152,31,6,2,5,Some Random Commen with Id 152
153,31,6,83,4,Some Random Commen with Id 153
154,31,6,18,0,Some Random Commen with Id 154
155,31,6,100,5,Some Random Commen with Id 155
156,31,6,118,3,Some Random Commen with Id 156
157,31,6,112,8,Some Random Commen with Id 157
158,31,6,130,9,Some Random Commen with Id 158
159,32,9,127,8,Some Random Commen with Id 159
160,32,9,135,8,Some Random Commen with Id 160
161,33,0,162,8,Some Random Commen with Id 161
162,33,0,36,5,Some Random Commen with Id 162
163,33,0,133,1,Some Random Commen with Id 163
164,34,6,1,3,Some Random Commen with Id 164
165,34,6,133,3,Some Random Commen with Id 165
166,34,6,112,3,Some Random Commen with Id 166
167,35,8,3,8,Some Random Commen with Id 167
168,35,8,118,8,Some Random Commen with Id 168
169,35,8,140,7,Some Random Commen with Id 169
170,35,8,24,6,Some Random Commen with Id 170
171,35,8,122,3,Some Random Commen with Id 171
172,35,8,68,9,Some Random Commen with Id 172
173,35,8,115,0,Some Random Commen with Id 173
174,36,1,28,4,Some Random Commen with Id 174
175,36,1,198,6,Some Random Commen with Id 175
176,36,1,83,4,Some Random Commen with Id 176
177,37,7,174,8,Some Random Commen with Id 177
178,37,7,76,3,Some Random Commen with Id 178
179,37,7,76,3,Some Random Commen with Id 179
180,37,7,120,2,Some Random Commen with Id 180
181,37,7,32,9,Some Random Commen with Id 181
182,37,7,187,7,Some Random Commen with Id 182
183,38,9,177,6,Some Random Commen with Id 183
